Identifier,"DISTRICT:कृपया अपना विवरण (District, School, Gender, and Name) चुनें:","GENDER:कृपया अपना विवरण (District, School, Gender, and Name) चुनें:",1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10b_tnt_project
38,BAGESHWAR,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
39,BAGESHWAR,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(a) हाँ,
40,UTTARKASHI,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(a) हाँ,
41,TEHRI GARHWAL,लड़की,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
42,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
43,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
44,TEHRI GARHWAL,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(a) हाँ,
45,TEHRI GARHWAL,लड़की,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
46,TEHRI GARHWAL,लड़का,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(a) हाँ, बहुत बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(b) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी"
47,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
